2018-03-27 11:18:09,992 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-27 11:18:09,994 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 14 resources
2018-03-27 11:18:09,999 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-27 11:18:09,999 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/indic/Documents/workspace_git27/Currency/src/test/resources
2018-03-27 11:18:11,150 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-27 11:18:11,151 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 14 resources
2018-03-27 11:18:11,155 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-27 11:18:11,156 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/indic/Documents/workspace_git27/Currency/src/test/resources
2018-03-27 11:18:12,271 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-27 11:18:12,273 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 14 resources
2018-03-27 11:18:12,278 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-27 11:18:12,278 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/indic/Documents/workspace_git27/Currency/src/test/resources
2018-03-27 11:18:13,522 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-27 11:18:13,532 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 14 resources
2018-03-27 11:18:13,548 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-27 11:18:13,548 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/indic/Documents/workspace_git27/Currency/src/test/resources
2018-03-27 11:18:17,616 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-27 11:18:17,618 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 14 resources
2018-03-27 11:18:17,674 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-27 11:18:17,675 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/indic/Documents/workspace_git27/Currency/src/test/resources
2018-03-27 11:19:52,789 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-27 11:19:52,790 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 14 resources
2018-03-27 11:19:52,793 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-27 11:19:52,793 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/indic/Documents/workspace_git27/Currency/src/test/resources
2018-03-27 11:20:53,007 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-27 11:20:53,009 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 14 resources
2018-03-27 11:20:53,011 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-27 11:20:53,013 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/indic/Documents/workspace_git27/Currency/src/test/resources
2018-03-27 11:21:38,290 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-27 11:21:38,293 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 14 resources
2018-03-27 11:21:38,295 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-27 11:21:38,296 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/indic/Documents/workspace_git27/Currency/src/test/resources
2018-03-27 11:22:16,913 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-27 11:22:16,915 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 14 resources
2018-03-27 11:22:16,917 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-27 11:22:16,918 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/indic/Documents/workspace_git27/Currency/src/test/resources
2018-03-27 11:23:12,904 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-27 11:23:12,906 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 14 resources
2018-03-27 11:23:12,910 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-27 11:23:12,910 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/indic/Documents/workspace_git27/Currency/src/test/resources
2018-03-27 11:23:16,200 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-27 11:23:16,204 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 14 resources
2018-03-27 11:23:16,206 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-27 11:23:16,207 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/indic/Documents/workspace_git27/Currency/src/test/resources
2018-03-27 11:24:03,253 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-27 11:24:03,255 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 14 resources
2018-03-27 11:24:03,257 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-27 11:24:03,258 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/indic/Documents/workspace_git27/Currency/src/test/resources
2018-03-27 11:24:27,312 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-27 11:24:27,316 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 14 resources
2018-03-27 11:24:27,321 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-27 11:24:27,322 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/indic/Documents/workspace_git27/Currency/src/test/resources
2018-03-27 11:25:52,271 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-27 11:25:52,272 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 14 resources
2018-03-27 11:25:52,281 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-27 11:25:52,282 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/indic/Documents/workspace_git27/Currency/src/test/resources
2018-03-27 11:25:53,384 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-27 11:25:53,385 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 14 resources
2018-03-27 11:25:53,388 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-27 11:25:53,389 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/indic/Documents/workspace_git27/Currency/src/test/resources
2018-03-27 11:27:14,952 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-27 11:27:14,965 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 14 resources
2018-03-27 11:27:14,970 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
